timestamp,instance,rule,seed,makespan,sim_time,decision_index,decision_type,subject_id,chosen_id,candidate_count,is_degenerate,candidate_ids,candidate_stat_a,candidate_stat_b,candidate_stat_c,job_candidate_count,is_job_selection_degenerate,job_candidate_ids
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,0.0,1,Routing,0,0,3,0,0|5|10,15|15|15,0|0|0,0|0|0,1,1,0
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,26.3,2,Routing,1,0,3,0,0|5|10,15|15|15,15|0|0,0|0|0,1,1,1
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,31.6,3,Dispatch,0,0,1,1,0,15,74.6,0,0,0,
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,46.6,4,Routing,0,2,3,0,2|7|12,59.6|59.6|59.6,0|0|0,0|0|0,1,1,0
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,52.6,5,Routing,2,0,3,0,0|5|10,15|15|15,15|0|0,0.2856599|0|0,1,1,2
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,59.7,6,Dispatch,0,1,1,1,1,15,54.33,26.28,0,0,
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,74.7,7,Routing,1,2,3,0,2|7|12,39.33|39.33|39.33,59.6|0|0,0|0|0,1,1,1
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,78.9,8,Routing,3,0,3,0,0|5|10,15|15|15,15|0|0,0.3809282|0|0,1,1,3
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,87.9,9,Dispatch,0,2,1,1,2,15,62.58,52.55,0,0,
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,88.3,10,Dispatch,2,0,1,1,0,59.5999984741211,59.6,0,0,0,
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,103.0,11,Routing,2,2,3,0,2|7|12,47.58|47.58|47.58,39.33|0|0,0.1421911|0|0,1,1,2
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,105.1,12,Routing,4,0,3,0,0|5|10,15|15|15,15|0|0,0.4285714|0|0,1,1,4
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,117.3,13,Dispatch,0,3,1,1,3,15,60.87,78.83,0,0,
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,131.4,14,Routing,5,0,3,0,0|5|10,15|15|15,15|0|0,0.4501598|0|0,1,1,5
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,132.3,15,Routing,3,2,3,0,2|7|12,45.87|45.87|45.87,86.91|0|0,0.3326281|0|0,1,1,3
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,145.9,16,Dispatch,0,4,1,1,4,15,77.8,105.11,0,0,
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,147.9,17,Dispatch,2,1,2,0,1|2,39.3300018310547|47.5800018310547,39.33|47.58,26.28|52.55,0,0,
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,157.7,18,Routing,6,0,3,0,0|5|10,15|15|15,15|0|0,0.4558021|0|0,1,1,6
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,160.9,19,Routing,4,2,3,0,2|7|12,62.8|62.8|62.8,93.45|0|0,0.4511558|0|0,1,1,4
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,163.2,20,Dispatch,0,5,1,1,5,15,75.83,131.39,0,0,
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,178.3,21,Routing,5,2,3,0,2|7|12,60.83|60.83|60.83,156.25|0|0,0.5045439|0|0,1,1,5
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,184.0,22,Routing,7,0,3,0,0|5|10,15|15|15,15|0|0,0.4898359|0|0,1,1,7
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,187.3,23,Dispatch,2,3,2,0,2|3,47.5800018310547|45.8699989318848,47.58|45.87,52.55|78.83,0,0,
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,192.5,24,Dispatch,0,6,1,1,6,15,82.94,157.66,0,0,
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,207.6,25,Routing,6,2,3,0,2|7|12,67.94|67.94|67.94,171.21|0|0,0.5744845|0|0,1,1,6
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,210.3,26,Routing,8,0,3,0,0|5|10,15|15|15,15|0|0,0.5000476|0|0,1,1,8
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,216.2,27,Dispatch,0,7,1,1,7,15,56.37,183.94,0,0,
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,231.2,28,Routing,7,2,3,0,2|7|12,41.37|41.37|41.37,239.15|0|0,0.61796|0|0,1,1,7
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,233.2,29,Dispatch,2,2,3,0,2|4|5,47.5800018310547|62.7999992370605|60.8300018310547,47.58|62.8|60.83,52.55|105.11|131.39,0,0,
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,236.5,30,Routing,9,0,3,0,0|5|10,15|15|15,15|0|0,0.5079902|0|0,1,1,9
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,245.3,31,Dispatch,0,8,1,1,8,15,67.42,210.22,0,0,
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,260.3,32,Routing,8,2,3,0,2|7|12,52.42|52.42|52.42,232.94|0|0,0.6606992|0|0,1,1,8
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,262.8,33,Routing,10,0,3,0,0|5|10,15|15|15,15|0|0,0.5143836|0|0,1,1,10
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,273.5,34,Dispatch,0,9,1,1,9,15,54.48,236.5,0,0,
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,280.8,35,Dispatch,2,7,4,0,4|5|6|7,62.7999992370605|60.8300018310547|67.9400024414063|41.3699989318848,62.8|60.83|67.94|41.37,105.11|131.39|157.66|183.94,0,0,
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,288.5,36,Routing,9,2,3,0,2|7|12,39.48|39.48|39.48,243.99|0|0,0.693886|0|0,1,1,9
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,288.5,37,Dispatch,0,10,1,1,10,15,60.72,262.77,0,0,
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,289.1,38,Routing,11,0,3,0,0|5|10,15|15|15,0|0|0,0.5214474|0|0,1,1,11
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,303.6,39,Routing,10,2,3,0,2|7|12,45.72|45.72|45.72,283.47|0|0,0.7090526|0|0,1,1,10
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,315.4,40,Routing,12,0,3,0,0|5|10,15|15|15,15|0|0,0.5239092|0|0,1,1,12
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,322.2,41,Dispatch,2,8,4,0,4|5|6|8,62.7999992370605|60.8300018310547|67.9400024414063|52.4199981689453,62.8|60.83|67.94|52.42,105.11|131.39|157.66|210.22,0,0,
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,328.0,42,Dispatch,0,11,1,1,11,15,70.18,289.05,0,0,
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,341.6,43,Routing,13,0,3,0,0|5|10,15|15|15,15|0|0,0.523475|0|0,1,1,13
2026-09-20 19:00:00,mfsweep_control_nofail,SPT_SMPT,42,7612.28,343.0,44,Routing,11,2,3,0,2|7|12,55.18|55.18|55.18,276.77|0|0,0.7425373|0|0,1,1,11
