timestamp,instance,rule,seed,makespan,job_id,is_dynamic,arrival_time,op_index,machine_type_required,eligible_machine_count,min_proc_time,max_proc_time,mean_proc_time,proc_time_spread,travel_time
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,0,0,0.0,0,Weld,2,18.2,30.3,24.2,12.2,29.0
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,0,0,0.0,1,Mill,2,27.6,31.4,29.5,3.8,19.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,0,0,0.0,2,Weld,2,24.6,26.6,25.6,2.0,6.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,0,0,0.0,3,Assemble,2,21.8,35.4,28.6,13.6,19.6
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,1,0,0.0,0,Mill,2,27.9,29.4,28.7,1.4,25.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,1,0,0.0,1,Lathe,2,23.3,30.8,27.1,7.4,4.7
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,1,0,0.0,2,Inspect,2,17.9,24.6,21.3,6.7,6.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,2,1,131.1,0,Inspect,2,25.0,27.7,26.3,2.7,30.7
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,2,1,131.1,1,Weld,2,27.4,32.9,30.2,5.5,21.3
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,2,1,131.1,2,Assemble,2,22.4,30.5,26.4,8.0,19.6
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,3,1,631.1,0,Inspect,2,21.3,27.8,24.5,6.5,30.7
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,3,1,631.1,1,Mill,2,14.5,27.4,20.9,12.9,17.7
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,3,1,631.1,2,Inspect,2,24.1,25.7,24.9,1.5,8.1
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,4,1,1164.4,0,Assemble,2,25.2,31.8,28.5,6.6,25.5
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,4,1,1164.4,1,Lathe,2,19.0,26.8,22.9,7.8,4.7
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,4,1,1164.4,2,Assemble,2,26.5,34.9,30.7,8.4,21.3
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,4,1,1164.4,3,Weld,2,21.7,25.0,23.3,3.4,6.4
2026-06-13 16:58:47,s_10m_dynamic,LPT_MMUR,42,5397.77,4,1,1164.4,4,Assemble,2,18.4,28.8,23.6,10.4,19.6
